cost_code,equipment,manufacturer,specification,capacity,hp,notes,unit,rate
8010,Air Compressor,Miscellaneous Tank Mounted Air Compressors 80/25,41 CFM,41 CFM,to 10,Hoses included.,Hour,1.8
8011,Air Compressor,Multiquip DIS100SSK4F,103 CFM,103 CFM,to 30,Hoses included.,Hour,20.23
8012,Air Compressor,Sullivan-Palatek D130Q6IZ,130 CFM,130 CFM,to 50,Hoses included.,Hour,27.71
8013,Air Compressor,Grimmer-Schmidt 175,175 CFM,175 CFM,to 90,Hoses included.,Hour,26.29
8014,Air Compressor,Sullivan-Palatek D375QH6CA,400 CFM,400 CFM,to 145,Hoses included.,Hour,58.41
8015,Air Compressor,Grimmer-Schmidt 800,575 CFM,575 CFM,to 230,Hoses included.,Hour,105.25
8016,Air Compressor,Ingersoll Rand XP1200WCU,1100 CFM,1100 CFM,to 355,Hoses included.,Hour,187.83
8017,Air Compressor,Sullair 1600DTQCA,1600 CFM,1600 CFM,to 500,Hoses included.,Hour,200.97
8040,Ambulance,,GVW 8600 Pounds,,to 150,,Hour,31.69
8041,Ambulance,,GVW 11000 Pounds,,to 210,,Hour,38.68
8050,"Board, Arrow",Miscellaneous Trailer mounted Arrow Boards,,,to 8,Trailer Mounted.,Hour,5.15
8051,"Board, Message",Miscellaneous CMSBBI,,,to 5,Trailer Mounted.,Hour,11.18
8060,"Auger, Portable",Miscellaneous One Man Wheel Mount,16 In,16 In,to 6,,Hour,1.99
8061,"Auger, Portable",Miscellaneous Portable Earth Auger,18 In,18 In,to 13,,Hour,4.89
8062,"Auger, Tractor Mntd",Miscellaneous TLB Auger Mount,36 In,36 In,to 13,"Includes digger, boom & mounting hardware",Hour,2.94
8063,"Auger, Truck Mntd",Miscellaneous DH-Avg,24 In,24 In,to 100,8'x8'x10' Drophammer,Hour,50.79
8064,Hydraulic Post Driver,Miscellaneous VIB-Avg,24 In,24 In,to 100,Hyd. Impact Hammer,Hour,53.97
8065,Auger,Horizontal Directional Boring Machine,250 X 100,250 X 100,to 300,DD-140B YR-2003,Hour,251.58
8067,"Auger, Directional Boring Machine",Miscellaneous 7K - Horizontal Drilling Machines,"7,000 lbs","7,000 lbs",to 25,Corrected to use Misc. 7K,Hour,87.45
8067.1,Directional Boring Machine,Vermeer D24X40A (disc. 2001),Spindle Torque 4000 ft/lb,Spindle Torque 4000 ft/lb,125,,Hour,210.47
8068,Bush Hog,New Holland 272GMS,72-IN cutting width,,,,Hour,18.8
